"score","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61"
0,0.6325,0.132933333333333,0.234566666666667,"en","Concert tonight?
DOWNLOAD&RIDE
","",0.1,0.3,0.152,0.036,0.113741223671013,26,0,0,0,0,0,0,0.09728,0.0355466666666667,0.642666666666667,0.134666666666667,6,4,0.1318103,0.281660161950297,361,238.2218,35.0457855885864,144,0.888010866666667,0.178826835893681,252,0.8326,0.37333510200352,2,0,0,0,0,"Lyft Network","tech"," 119",0,0,0.645333333333333,2.2,14.6,10,9.8,0.335735887096774,0.469758064516129,0.351474294354839,0.166410832111437,0.354247951619196,0.2375,8512,109.710843373494,16054.5119047619,1391.5909114811,"product,technology,product design,electronics accessory,hardware,font,brand,magenta,cell phone"
0,0.25,0.0982133333333333,0.651786666666667,"en","Keeping up with the Kardashians' style!
Kourtney's new range for PrettyLittleThing
has landed... shop all the looks here!
Read More
Sponsored
","/Beauty & Fitness/Fashion & Style; /Arts & Entertainment",0.2,0.8,0.044,0.028,0,114,0,0,0,0,0,0.266,0.510186666666667,0,0.0893333333333333,0.654666666666667,17,1,0.497485533333333,0.409527534843189,394,115.117106666667,144.790706736812,244,0.662140933333333,0.302775958779554,256,0.499013333333333,0.500002359848118,2,0,0,0,0,"New Look Range","retail"," 159",4,0,0.133333333333333,0.6,16.2,10,9.8,0.0169228830645161,0.0319304435483871,0.0305317540322581,0.0200394825268817,0.627598000526178,0,180,33.4698795180723,29849.5238095238,32.6778640637743,"fashion,advertising,photo caption,electric blue,media,chair,person,car"
0,0.165,0.118906666666667,0.716093333333333,"nl","Simple communication
via Messages
marketplace
Direct download>
","/Sports/Individual Sports/Cycling; /Hobbies & Leisure; /Autos & Vehicles/Bicycles & Accessories; /Sports/Sporting Goods; /Shopping",0.5,0.5,0.084,0.036,0,61,0,0,0,0,0,0.0832,0.356853333333333,0,0.0533333333333333,0.734666666666667,31,1,0.346160566666667,0.274489890398556,399,70.9095333333333,87.4232002769374,276,0.5641052,0.273090899179772,255,0.38916,0.487562984617221,2,0,0,0,0,"Marktplaats","othr","  62",0,0,0.0186666666666667,10.6,4.2,14,10.4,0.945501512096774,0.997101814516129,0.957333669354839,0.281973951993305,0.282793540126231,0.00499999999999989,293,426.369863013699,36790.9324324324,959.607658569784,"mode of transport,bicycle,road bicycle,cycling,vehicle,technology,bicycle accessory,advertising,person"
0,0.1825,0.14932,0.66818,"en","2017 JEEP GRAND CHEROKEE
,500 Combined Cash
+ Auto Show Bonus Cash
,000 TOTAL CASH SAVINGS
","/Autos & Vehicles/Vehicle Parts & Services",0.8,0.8,0.096,0.036,0.480132154656666,77,0,0,0,0,0,0,0.493506666666667,0,0.0813333333333333,0.716,17,1,0.238942066666667,0.294328724958518,397,82.10972,106.998063452862,290,0.3090547,0.335859806589057,256,0.245853333333333,0.430594872219207,2,0,0,0,0,"Chrysler/Jeep Corporate","auto","   6",2,0,0.0453333333333333,1.6,15.2,15.8,15.2,0.842426915322581,0.910698084677419,0.876625504032258,0.339098727318548,0.372350324464184,0.3125,18023,218.566265060241,17541.1071428571,5952.34308227483,"motor vehicle,vehicle,car,bumper,automotive tire,luxury vehicle,jeep,rim,automotive design,sport utility vehicle,truck"
1,0.4275,0.224293333333333,0.348206666666667,"id","2X
BROWN Reona
PREVENT
SWEAT
silence
nu
UNGA MATAHAR
SEE KNOW DISIN
","/Beauty & Fitness/Face & Body Care/Skin & Nail Care",0.5,0.5,0.304,0.02,0.910117703007966,66,0,0,0,0,0,0,0.2652,0,0.457333333333333,0.482666666666667,11,1,0.121329433333333,0.173908004253968,362,185.24708,163.394958888909,181,0.903735433333333,0.127595606754296,167,0.98192,0.133241698845885,2,0,0,0,0,"Rexona","cpg"," 625",0,0,0.0133333333333333,5.2,10,10.2,4,0.950806451612903,0.991771673387097,0.987386592741936,0.259364337779156,0.26151617830884,0.08,1266,357.546666666667,17042.9078947368,2741.77301359361,"product,skin care,product design,lotion,brand,health & beauty,cream,bottle"
0,0.625,0,0.375,"en","","/Autos & Vehicles",0.5,0.5,0,0,NA,0,0,0,0,0,0,0,0.11552,0,0.353333333333333,0.306666666666667,10,1,0.192914833333333,0.214966779153247,344,91.7638533333333,76.771205402752,185,0.252403966666667,0.259641985973784,240,0.228613333333333,0.419942410945361,2,0,0,0,0,"Lexus Corporate","auto"," 368",2,0,0.169333333333333,18.8,0.4,19.2,9.8,0.683795362903226,0.750554435483871,0.715410786290323,0.441026215039465,0.587600571243233,0.1675,2285,451.063157894737,12184.3541666667,3021.43840606865,"car,motor vehicle,vehicle,sports car,road,mode of transport,wheel,automotive design,performance car,supercar"
1,0.3,0.117426666666667,0.582573333333333,"en","Suave
Breeze
FRAGRANCE
PREFERRED
OVER BATH&BODY WORKS
JUNIPER BREEZE
Watch the Challenge
Body Works s egieed trademark of Bah
","/Beauty & Fitness/Face & Body Care",0.5,0.5,0.068,0.024,0.738957647325991,106,0,0,0,0,0,0,0,0.00866666666666667,0.106666666666667,0.648,14,1,0.212358733333333,0.254803308861453,399,136.77752,86.8245338751978,243,0.913153,0.107603896176268,154,0.931013333333333,0.25343315265975,2,0,0,0,0,"St Ives Swiss Formula Skin Care Range","cpg","  45",0,0,0.0306666666666667,0,15.4,-Inf,9.8,0,0.000730846774193548,0.000730846774193548,0,NA,0,0,0.236842105263158,28740.961038961,0.768483784740727,"water,product,liquid,herbal,mineral water,brand,drinking water"
0,0.8575,0,0.1425,"en","","/People & Society",0.3,0.3,0,0,NA,0,0,0,0,0,0,0.60192,0,0,0.878666666666667,0.088,2,3,0.365443466666667,0.289644506979138,325,130.64132,96.578081397049,117,0.0932007333333333,0.10504895974377,225,0.01324,0.114301691143896,2,0,0,0,0,NA,"art","   0",0,0,0.133333333333333,16.2,0.4,16.6,16.2,0.781287802419355,0.886365927419355,0.793497983870968,0.386069108422939,0.435564022126815,0.19,-765,482.914634146341,10252.4819277108,3226.90946822696,"darkness,black hair,phenomenon,girl,human,midnight,goth subculture,neck,gentleman,screenshot,person"
0,0.2725,0.22952,0.49798,"en","RESTAURANT
PLANTS
DECOR
TROPICAL
GARDENS
www.colasanti.com
","",0.5,0.5,0.112,0.032,0.864064133844545,51,0,0,0,0,0,0,0.2716,0.01848,0.252,0.588,10,2,0.787533233333333,0.340536100890971,399,122.884386666667,71.5707153225935,264,0.590042133333333,0.2621361906145,256,0.298186666666667,0.457464937247807,2,0,0,0,0,NA,"othr","   0",2,0,0.110666666666667,9.2,6.6,12.4,1,0.978150201612903,1,0.991166834677419,0.39105479707223,0.39105479707223,0.1375,17764,269.153846153846,28886.2025316456,3318.89768686697,"flower,advertising,plant,flowering plant,font,graphics,bird"
0,0.2125,0.0255466666666667,0.761953333333333,"en","Official
Console
XBOX Partner
ty
mirat
19
","/Sports/Team Sports",0.8,0.8,0.064,0.024,0.267223382045929,35,0,0,0,0,0,0.743933333333333,0.0117866666666667,0,0.18,0.709333333333333,27,1,0.151425366666667,0.199880966107015,234,103.325253333333,84.3077900373505,294,0.569977,0.206795888494412,200,0.4894,0.499890959989901,2,0,0,0,0,"Microsoft Xbox",NA,"  87",0,0,0.00133333333333333,8.4,6.6,11.8,0.2,0.19484627016129,0.877356350806452,0.684866431451613,0.214021397369432,0.243938961828574,0.1575,4285,243.283783783784,10233.68,1883.00858432686,"player,football player,team,soccer player,sport venue,team sport,games,sports,tournament,product,person,bottle"
